Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
丝带,丝带,丝带，配件，吊墜，直徑 2mm。,Pearl Pearl,aa-6-3,吊墜,"diy:accessory, 配件, 吊墜, cat:吊墜",TRUE,Active,sd_pnd_2,,尺寸,2mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E4%B8%9D%E5%B8%A6.png,1,丝带,,FALSE,丝带｜Pearl Pearl DIY,丝带，配件，吊墜，直徑 2mm。,,,,,,,,,,,,,,
奶白晶,奶白晶,奶白晶，珠子，水晶，直徑 6mm／8mm／10mm。,Pearl Pearl,aa-6-3,水晶,"diy:bead, 珠子, 水晶, cat:水晶",TRUE,Active,nbj_cysl_6,,尺寸,6mm,,,,,,,,69,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E5%A5%B6%E7%99%BD%E6%99%B6.png,1,奶白晶,,FALSE,奶白晶｜Pearl Pearl DIY,奶白晶，珠子，水晶，直徑 6mm／8mm／10mm。,,,,,,,,,,,,,,
,奶白晶,,,,,,,,nbj_cysl_8,,,8mm,,,,,,,,89,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,奶白晶,,,,,,,,nbj_cysl_10,,,10mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
圆珍珠,圆珍珠,圆珍珠，珠子，珍珠，直徑 6mm／8mm／10mm。,Pearl Pearl,aa-6-3,珍珠,"diy:bead, 珠子, 珍珠, cat:珍珠",TRUE,Active,dszz_prl_6,,尺寸,6mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E5%9C%86%E7%8F%8D%E7%8F%A0.png,1,圆珍珠,,FALSE,圆珍珠｜Pearl Pearl DIY,圆珍珠，珠子，珍珠，直徑 6mm／8mm／10mm。,,,,,,,,,,,,,,
,圆珍珠,,,,,,,,dszz_prl_8,,,8mm,,,,,,,,199,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,圆珍珠,,,,,,,,dszz_prl_10,,,10mm,,,,,,,,399,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
镂空钻蕾丝,镂空钻蕾丝,镂空钻蕾丝，配件，隔珠，直徑 6mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,lkzls_spc_6,,尺寸,6mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%95%82%E7%A9%BA%E9%92%BB%E8%95%BE%E4%B8%9D.png,1,镂空钻蕾丝,,FALSE,镂空钻蕾丝｜Pearl Pearl DIY,镂空钻蕾丝，配件，隔珠，直徑 6mm。,,,,,,,,,,,,,,
满镶星星,满镶星星,满镶星星，配件，吊墜，直徑 2mm。,Pearl Pearl,aa-6-3,吊墜,"diy:accessory, 配件, 吊墜, cat:吊墜",TRUE,Active,mxxx_pnd_2,,尺寸,2mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E6%BB%A1%E9%95%B6%E6%98%9F%E6%98%9F.png,1,满镶星星,,FALSE,满镶星星｜Pearl Pearl DIY,满镶星星，配件，吊墜，直徑 2mm。,,,,,,,,,,,,,,
霹雳,霹雳,霹雳，配件，吊墜，直徑 2mm。,Pearl Pearl,aa-6-3,吊墜,"diy:accessory, 配件, 吊墜, cat:吊墜",TRUE,Active,pl_pnd_2,,尺寸,2mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%9C%B9%E9%9B%B3.png,1,霹雳,,FALSE,霹雳｜Pearl Pearl DIY,霹雳，配件，吊墜，直徑 2mm。,,,,,,,,,,,,,,
镂空小猫,镂空小猫,镂空小猫，配件，吊墜，直徑 2mm。,Pearl Pearl,aa-6-3,吊墜,"diy:accessory, 配件, 吊墜, cat:吊墜",TRUE,Active,lkxm_pnd_2,,尺寸,2mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%95%82%E7%A9%BA%E5%B0%8F%E7%8C%AB.png,1,镂空小猫,,FALSE,镂空小猫｜Pearl Pearl DIY,镂空小猫，配件，吊墜，直徑 2mm。,,,,,,,,,,,,,,
爱心曲别针,爱心曲别针,爱心曲别针，配件，吊墜，直徑 2mm。,Pearl Pearl,aa-6-3,吊墜,"diy:accessory, 配件, 吊墜, cat:吊墜",TRUE,Active,axqbz_pnd_2,,尺寸,2mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E7%88%B1%E5%BF%83%E6%9B%B2%E5%88%AB%E9%92%88.png,1,爱心曲别针,,FALSE,爱心曲别针｜Pearl Pearl DIY,爱心曲别针，配件，吊墜，直徑 2mm。,,,,,,,,,,,,,,
锆石魔盒钻,锆石魔盒钻,锆石魔盒钻，配件，隔珠，直徑 8mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,gsmhz_spc_8,,尺寸,8mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%94%86%E7%9F%B3%E9%AD%94%E7%9B%92%E9%92%BB.png,1,锆石魔盒钻,,FALSE,锆石魔盒钻｜Pearl Pearl DIY,锆石魔盒钻，配件，隔珠，直徑 8mm。,,,,,,,,,,,,,,
星光粉晶,星光粉晶,星光粉晶，珠子，水晶，直徑 6mm／8mm／10mm。,Pearl Pearl,aa-6-3,水晶,"diy:bead, 珠子, 水晶, cat:水晶",TRUE,Active,xgfj_cysl_6,,尺寸,6mm,,,,,,,,69,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E6%98%9F%E5%85%89%E7%B2%89%E6%99%B6.png,1,星光粉晶,,FALSE,星光粉晶｜Pearl Pearl DIY,星光粉晶，珠子，水晶，直徑 6mm／8mm／10mm。,,,,,,,,,,,,,,
,星光粉晶,,,,,,,,xgfj_cysl_8,,,8mm,,,,,,,,89,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,星光粉晶,,,,,,,,xgfj_cysl_10,,,10mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
菱格立方,菱格立方,菱格立方，配件，隔珠，直徑 8mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,lglf_spc_8,,尺寸,8mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E8%8F%B1%E6%A0%BC%E7%AB%8B%E6%96%B9.png,1,菱格立方,,FALSE,菱格立方｜Pearl Pearl DIY,菱格立方，配件，隔珠，直徑 8mm。,,,,,,,,,,,,,,
银色满镶月亮,银色满镶月亮,银色满镶月亮，配件，吊墜，直徑 2mm。,Pearl Pearl,aa-6-3,吊墜,"diy:accessory, 配件, 吊墜, cat:吊墜",TRUE,Active,ysmxyl_pnd_2,,尺寸,2mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%93%B6%E8%89%B2%E6%BB%A1%E9%95%B6%E6%9C%88%E4%BA%AE.png,1,银色满镶月亮,,FALSE,银色满镶月亮｜Pearl Pearl DIY,银色满镶月亮，配件，吊墜，直徑 2mm。,,,,,,,,,,,,,,
锆石方钻,锆石方钻,锆石方钻，配件，隔珠，直徑 6mm。,Pearl Pearl,aa-6-3,隔珠,"diy:accessory, 配件, 隔珠, cat:隔珠",TRUE,Active,gsfz_spc_6,,尺寸,6mm,,,,,,,,59,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%94%86%E7%9F%B3%E6%96%B9%E9%92%BB.png,1,锆石方钻,,FALSE,锆石方钻｜Pearl Pearl DIY,锆石方钻，配件，隔珠，直徑 6mm。,,,,,,,,,,,,,,
白玉髓,白玉髓,白玉髓，珠子，瑪瑙，直徑 6mm／8mm／10mm。,Pearl Pearl,aa-6-3,瑪瑙,"diy:bead, 珠子, 瑪瑙, cat:瑪瑙",TRUE,Active,by_agt_6,,尺寸,6mm,,,,,,,,69,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E7%99%BD%E7%8E%89%E9%AB%93.png,1,白玉髓,,FALSE,白玉髓｜Pearl Pearl DIY,白玉髓，珠子，瑪瑙，直徑 6mm／8mm／10mm。,,,,,,,,,,,,,,
,白玉髓,,,,,,,,by_agt_8,,,8mm,,,,,,,,89,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,白玉髓,,,,,,,,by_agt_10,,,10mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
镂空金福,镂空金福,镂空金福，配件，吊墜，直徑 2mm。,Pearl Pearl,aa-6-3,吊墜,"diy:accessory, 配件, 吊墜, cat:吊墜",TRUE,Active,lkjf_pnd_2,,尺寸,2mm,,,,,,,,99,,,TRUE,,,,,,shopify,100,DENY,5,g,TRUE,manual,https://raw.githubusercontent.com/MorningJet/Pearl/main/%E9%95%82%E7%A9%BA%E9%87%91%E7%A6%8F.png,1,镂空金福,,FALSE,镂空金福｜Pearl Pearl DIY,镂空金福，配件，吊墜，直徑 2mm。,,,,,,,,,,,,,,
